🎯 Objectif,🌍 Contexte,🛠️ Équipements (JSON),📦 Flow Node-RED (JSON),timestamp
,,,,2025-06-25 16:36:45.682387
scanner,,"[{""name"": ""Scanner3D"", ""td"": ""https://scanner.loca.lt/scanner/td"", ""actions"": [""startScan"", ""stopScan""], ""events"": [""scanReady""], ""properties"": [""status""]}, {""name"": ""Robot"", ""td"": ""https://robot.loca.lt/robot/td"", ""actions"": [""moveTo"", ""pick"", ""place""], ""events"": [""readyToScan""], ""properties"": [""position"", ""gripStatus""]}, {""name"": ""Convoyeur"", ""td"": ""https://convoyeur.loca.lt/convoyeur/td"", ""actions"": [""start"", ""stop""], ""events"": [""onItemDetected""], ""properties"": [""speed"", ""status""]}]","❌ Erreur serveur : 500 – {""error"":""Erreur DeepSeek : Request failed with status code 401""}",2025-06-26 10:08:41.273285
